School,G,W,L,W - L %,SRS,SOS,W,L,W,L,W,L,Tm., Opp., ,MP,FG,FGA,FG %,3P,3PA,3P %,FT,FTA,FT %,ORB,TRB,AST,STL,BLK,TOV,PF,InNCAA
Mercer,28,16,12,.571,-8.54,-9.77,11,9,10,4,6,7,2242,2173,,1145,804,1790,.449,227,660,.344,407,619,.658,387,1088,477,264,89,446,499,0
Miami (FL),29,16,13,.552,9.53,7.78,7,9,11,6,5,6,2071,2020,,1170,761,1768,.430,197,561,.351,352,523,.673,433,1147,337,209,139,376,484,0
Miami (OH),30,19,11,.633,7.72,3.62,12,6,13,2,5,8,1970,1838,,1220,697,1537,.453,207,552,.375,369,542,.681,343,1084,386,157,68,414,583,0
Michigan State ,33,26,7,.788,20.47,7.41,13,3,14,1,6,4,2590,2159,,1335,914,1875,.487,219,615,.356,543,699,.777,397,1198,565,258,87,451,640,1
Michigan,31,13,18,.419,4.79,7.12,4,12,11,7,2,9,1911,1983,,1250,690,1558,.443,155,501,.309,376,521,.722,321,966,379,173,134,485,501,0
Middle Tennessee,31,19,12,.613,2.29,-1.43,7,7,11,3,5,7,2212,2028,,,772,1766,.437,195,564,.346,473,676,.700,408,1170,359,191,70,444,591,0
Milwaukee ,32,26,6,.813,10.41,1.44,14,2,13,1,11,3,2400,2059,,,831,1859,.447,262,735,.356,476,677,.703,421,1149,450,267,114,435,610,1
Minnesota ,32,21,11,.656,12.06,6.96,10,6,14,3,5,4,2175,2012,,,771,1707,.452,170,487,.349,463,656,.706,373,1091,453,292,145,516,512,1
Mississippi State ,34,23,11,.676,12.55,6.05,9,7,11,2,5,5,2466,2245,,1360,870,1958,.444,199,590,.337,527,792,.665,492,1389,475,232,114,503,532,1
Mississippi Valley State,28,13,15,.464,-10.87,-11.95,11,7,8,2,4,11,1875,1845,,,690,1686,.409,198,636,.311,297,437,.680,385,1059,330,263,137,395,518,0
Mississippi,31,14,17,.452,5.43,5.72,4,12,8,6,3,8,1979,1988,,1245,739,1651,.448,210,579,.363,291,478,.609,324,928,455,240,63,436,623,0
Missouri-Kansas City,28,16,12,.571,-3.35,-2.68,12,4,9,4,7,7,2060,2023,,1120,719,1598,.450,208,564,.369,414,599,.691,336,943,401,210,81,363,481,0
Missouri State,32,19,13,.594,9.89,4.51,10,8,13,4,4,8,2339,2167,,,790,1784,.443,170,433,.393,589,802,.734,440,1203,463,253,122,478,640,0
Missouri,33,16,17,.485,7.30,9.24,7,9,14,5,1,8,2124,2188,,1325,719,1757,.409,213,695,.306,473,693,.683,400,1149,408,206,72,476,627,0
Monmouth,29,16,13,.552,-6.58,-7.03,14,4,9,5,7,8,1845,1832,,1160,617,1411,.437,191,567,.337,420,545,.771,210,869,410,229,68,398,512,0
Montana State,28,14,14,.500,-6.73,-4.77,9,5,11,3,3,9,1893,1888,,1135,692,1578,.439,211,651,.324,298,448,.665,248,951,394,202,117,427,472,0
Montana ,31,18,13,.581,-3.63,-3.49,9,5,12,2,4,10,2152,2132,,,735,1606,.458,182,514,.354,500,739,.677,322,1118,424,182,93,528,533,1
Morehead State,27,11,16,.407,-14.37,-4.54,5,11,7,6,3,10,1706,1885,,,604,1312,.460,112,363,.309,386,507,.761,220,835,377,134,47,448,447,0
Morgan State,30,14,16,.467,-13.15,-10.92,11,7,10,1,3,12,1962,2029,,,727,1697,.428,155,476,.326,353,572,.617,343,996,395,236,67,485,634,0
Mount St. Mary's,27,7,20,.259,-15.70,-8.24,5,13,3,8,3,11,1765,1936,,1090,627,1514,.414,198,564,.351,313,472,.663,298,860,334,167,34,399,578,0
Murray State,28,17,11,.607,0.30,-3.47,11,5,10,4,6,7,1997,1841,,,733,1617,.453,199,553,.360,332,513,.647,381,957,412,211,81,357,544,0
Navy,28,9,19,.321,-12.31,-7.08,5,9,6,7,3,11,1951,2084,,,659,1667,.395,175,550,.318,458,704,.651,451,1151,337,249,67,546,640,0
Nebraska,28,14,14,.500,9.39,6.39,7,9,10,6,4,7,1905,1790,,1130,661,1556,.425,174,550,.316,409,620,.660,367,1072,380,164,111,398,542,0
Nevada-Las Vegas,31,17,14,.548,6.11,5.61,7,7,10,6,6,7,2272,2245,,,810,1806,.449,212,592,.358,440,630,.698,344,1125,437,186,115,450,631,0
Nevada ,32,25,7,.781,9.25,3.02,16,2,13,4,11,2,2225,1974,,1285,791,1730,.457,87,322,.270,556,786,.707,395,1270,480,225,167,465,504,1
New Hampshire,28,9,19,.321,-10.06,-3.95,5,13,6,6,3,12,1816,1947,,1125,660,1483,.445,154,519,.297,342,507,.675,282,931,381,204,75,454,441,0
New Mexico State,30,6,24,.200,-9.15,0.75,1,14,3,11,1,11,2024,2265,,,723,1685,.429,212,610,.348,366,549,.667,316,1004,354,149,88,483,532,0
New Mexico ,33,26,7,.788,11.09,1.51,10,4,18,1,5,5,2492,2121,,1320,855,1733,.493,269,688,.391,513,755,.679,327,1127,491,252,115,454,558,1
New Orleans,30,13,17,.433,-3.21,0.10,7,8,9,3,3,10,2001,2078,,,730,1714,.426,150,463,.324,391,615,.636,399,1069,401,184,68,380,560,0
Niagara ,30,20,10,.667,3.12,-3.08,13,5,13,0,5,9,2537,2351,,,833,1915,.435,270,753,.359,601,791,.760,471,1222,473,206,98,387,568,1
Nicholls State,27,6,21,.222,-16.68,-5.64,1,15,6,7,0,14,1936,2119,,1085,650,1637,.397,213,642,.332,423,582,.727,321,965,353,186,32,406,506,0
Norfolk State,27,13,14,.481,-11.27,-11.71,11,7,6,4,7,9,1677,1665,,1090,581,1405,.414,140,406,.345,375,596,.629,342,1007,298,206,108,464,495,0
North Carolina-Asheville,28,11,17,.393,-11.02,-4.37,8,8,8,5,3,12,1994,2118,,,704,1646,.428,193,573,.337,393,576,.682,370,1008,423,205,120,447,532,0
North Carolina A&T,30,6,24,.200,-17.11,-7.67,5,13,5,7,1,14,1936,2219,,,685,1783,.384,186,667,.279,380,617,.616,364,1025,340,297,103,608,648,0
North Carolina-Greensboro,30,18,12,.600,-7.23,-2.97,9,7,11,2,4,10,2170,2186,,1205,776,1732,.448,133,438,.304,485,702,.691,375,1087,352,276,178,524,476,0
North Carolina State ,35,21,14,.600,16.16,9.16,7,9,11,6,5,6,2559,2314,,1400,871,1915,.455,294,795,.370,523,742,.705,375,1121,529,260,156,435,658,1
North Carolina-Wilmington,29,19,10,.655,-1.55,-3.13,13,5,11,2,7,8,1886,1840,,1170,652,1603,.407,199,552,.361,383,537,.713,321,1003,371,199,37,340,573,0
North Carolina ,37,33,4,.892,28.42,10.66,14,2,15,0,8,2,3257,2600,,1480,1128,2260,.499,277,687,.403,724,998,.725,502,1499,706,362,142,594,662,1
North Texas,28,14,14,.500,-4.26,-0.99,6,9,9,7,4,7,2072,2064,,,730,1706,.428,164,496,.331,448,638,.702,386,1089,329,220,117,448,576,0
Northeastern,31,21,10,.677,0.51,-2.97,15,3,10,2,8,7,2277,2169,,1240,811,1854,.437,242,723,.335,413,582,.710,327,1077,404,218,202,418,514,0
Northern Arizona,28,11,17,.393,-6.62,-5.38,4,10,8,4,1,11,2139,2114,,,736,1623,.453,221,582,.380,446,626,.712,295,975,412,182,38,435,549,0
Northern Illinois,28,11,17,.393,1.27,2.06,7,11,7,4,3,13,1916,1938,,,672,1487,.452,198,504,.393,374,500,.748,298,901,410,162,122,396,519,0
Northern Iowa ,32,21,11,.656,10.14,5.31,11,7,13,2,6,7,2311,2127,,1290,847,1763,.480,226,593,.381,391,560,.698,283,1071,491,192,138,373,556,1
Northwestern State,33,21,12,.636,-1.67,-2.47,13,3,15,2,6,8,2466,2317,,,858,1906,.450,181,540,.335,569,813,.700,485,1262,522,307,112,553,687,0
Northwestern,31,15,16,.484,4.32,7.38,6,10,13,5,1,9,1828,1923,,1245,674,1492,.452,186,568,.327,294,482,.610,228,847,474,231,80,404,493,0
Notre Dame,29,17,12,.586,9.39,6.18,9,7,13,5,4,6,1951,1858,,1160,671,1635,.410,251,653,.384,358,495,.723,351,1022,415,193,123,341,439,0
Oakland ,32,13,19,.406,-2.66,0.86,7,9,6,5,3,13,2269,2352,,1285,811,1804,.450,201,593,.339,446,671,.665,384,1044,474,228,77,390,561,1
Ohio State,32,20,12,.625,13.14,6.20,8,8,15,2,2,8,2273,2051,,1300,848,1841,.461,259,716,.362,318,485,.656,291,1055,492,230,63,373,532,0
Ohio ,32,21,11,.656,5.36,1.80,11,7,13,1,4,9,2288,2174,,1290,773,1675,.461,182,555,.328,560,802,.698,348,1050,374,273,86,423,571,1
Oklahoma State ,33,26,7,.788,21.40,9.68,11,5,13,1,7,4,2583,2151,,1320,911,1833,.497,240,564,.426,521,668,.780,372,1121,556,242,87,453,599,1
Oklahoma ,33,25,8,.758,19.96,8.84,12,4,14,1,6,3,2480,2088,,1325,908,1907,.476,214,576,.372,450,652,.690,428,1172,511,291,135,449,607,1
Old Dominion ,34,28,6,.824,5.97,-2.59,15,3,14,1,11,4,2430,2079,,1365,869,1958,.444,210,624,.337,482,690,.699,409,1239,552,329,151,416,597,1
Oral Roberts,33,25,8,.758,5.22,-2.06,13,3,11,1,11,5,2552,2231,,1320,904,1890,.478,205,522,.393,539,743,.725,387,1219,574,249,103,466,600,0
Oregon State,32,17,15,.531,2.93,4.02,8,10,12,2,2,11,2328,2363,,,810,1826,.444,194,509,.381,514,710,.724,362,1094,429,193,126,471,560,0
Oregon,27,14,13,.519,6.46,6.68,6,12,9,5,3,7,1915,1921,,1090,678,1462,.464,170,504,.337,389,594,.655,290,928,362,143,78,413,484,0
Pacific ,31,27,4,.871,8.95,1.16,18,0,12,1,13,1,2258,2011,,1250,794,1598,.497,201,526,.382,469,631,.743,310,1104,462,154,96,424,455,1
Penn State,30,7,23,.233,-1.86,7.31,1,15,4,10,1,9,1903,2121,,1200,643,1576,.408,181,549,.330,436,627,.695,372,1054,376,166,66,477,452,0
Pennsylvania ,29,20,9,.690,4.71,-1.98,13,1,12,1,8,7,1982,1788,,1170,684,1580,.433,192,563,.341,422,640,.659,362,1084,420,233,93,455,570,1
Pepperdine,31,17,14,.548,1.68,1.51,6,8,9,3,3,8,2324,2300,,1245,817,1839,.444,208,586,.355,482,728,.662,403,1130,424,200,111,440,590,0
Pittsburgh ,29,20,9,.690,14.53,5.73,10,6,13,4,6,3,2097,1842,,1170,738,1567,.471,175,462,.379,446,677,.659,414,1103,439,189,120,419,496,1
Portland State,28,19,9,.679,-4.61,-8.19,11,3,13,2,6,7,2047,1921,,1125,708,1440,.492,150,438,.342,481,745,.646,269,944,471,214,108,481,567,0
Portland,30,15,15,.500,0.81,0.54,4,10,8,5,5,8,2069,2042,,,722,1603,.450,163,482,.338,462,668,.692,324,974,383,215,94,431,587,0
Prairie View,28,5,23,.179,-24.74,-9.88,5,13,2,9,3,13,1594,2010,,,575,1582,.363,141,445,.317,303,522,.580,299,947,229,182,60,490,599,0
Princeton,28,15,13,.536,-0.86,-1.90,6,8,8,3,5,10,1576,1521,,,513,1118,.459,197,550,.358,353,473,.746,167,674,337,202,91,376,571,0
Providence,31,14,17,.452,10.04,8.87,4,12,9,8,4,6,2308,2242,,,853,1851,.461,206,595,.346,396,559,.708,401,1102,514,254,187,469,558,0
Purdue,28,7,21,.250,5.93,11.07,3,13,6,9,0,10,1762,1906,,1130,640,1519,.421,133,449,.296,349,513,.680,340,921,359,156,89,408,518,0
Quinnipiac,27,10,17,.370,-14.55,-7.47,6,12,7,5,3,12,2021,2131,,1100,707,1587,.445,198,597,.332,409,560,.730,301,965,408,159,63,423,623,0
Radford,28,12,16,.429,-12.94,-7.81,7,9,7,5,4,10,1943,2011,,,698,1629,.428,158,483,.327,389,550,.707,334,961,323,203,82,382,503,0
Rhode Island,28,6,22,.214,-5.69,0.52,4,12,5,9,1,12,1620,1794,,1130,568,1531,.371,143,476,.300,341,526,.648,438,1038,299,170,104,397,521,0
Rice,31,19,12,.613,6.21,3.07,12,6,13,3,5,8,2301,2170,,,849,1764,.481,138,416,.332,465,642,.724,347,1137,493,201,125,447,555,0
Richmond,29,14,15,.483,0.48,3.06,8,8,8,4,4,10,1934,2009,,1160,697,1564,.446,169,480,.352,371,584,.635,314,939,416,180,111,402,572,0
Rider,30,19,11,.633,-1.91,-4.33,13,5,8,3,8,6,2248,2157,,1215,787,1794,.439,247,670,.369,427,566,.754,353,1084,457,220,88,362,523,0
Robert Morris,29,14,15,.483,-9.88,-7.13,11,7,7,6,6,9,2018,2035,,,709,1574,.450,203,562,.361,397,569,.698,284,882,372,215,71,384,533,0
Rutgers,29,10,19,.345,3.32,8.75,2,14,7,8,2,10,1883,2026,,,676,1660,.407,174,536,.325,357,504,.708,342,941,382,181,91,330,485,0
Sacramento State,28,12,16,.429,-11.33,-5.08,8,6,10,4,2,12,1934,2040,,1130,654,1696,.386,193,583,.331,433,640,.677,409,1000,334,279,86,421,634,0
Sacred Heart,27,4,23,.148,-16.74,-7.37,3,15,3,8,1,15,1756,2009,,1085,650,1495,.435,116,404,.287,340,537,.633,319,929,330,205,69,488,559,0
Saint Francis (PA),28,15,13,.536,-9.55,-7.55,10,8,11,2,4,11,1947,1975,,,711,1501,.474,163,420,.388,362,491,.737,283,866,457,179,67,399,461,0
Saint Joseph's,36,24,12,.667,7.77,3.32,14,2,12,1,7,7,2294,2110,,1440,753,1769,.426,275,742,.371,513,778,.659,398,1247,511,193,184,498,612,0
Saint Louis,30,9,21,.300,0.67,5.04,6,10,5,10,3,9,1693,1824,,,615,1503,.409,124,421,.295,339,508,.667,270,992,381,190,56,395,503,0
Saint Mary's (CA) ,34,25,9,.735,6.68,2.40,11,3,15,1,9,4,2373,2178,,,793,1817,.436,234,670,.349,553,763,.725,425,1244,380,204,113,534,616,1
Saint Peter's,28,15,13,.536,-2.94,-4.26,10,8,9,2,5,10,2200,2163,,1125,771,1813,.425,213,642,.332,445,642,.693,408,1037,404,245,71,376,564,0
Sam Houston State,30,18,12,.600,-2.14,-3.87,11,5,12,2,5,8,2210,2018,,1200,783,1717,.456,188,521,.361,456,729,.626,374,1182,535,230,151,522,632,0
Samford,28,15,13,.536,-5.00,-5.42,10,6,10,3,4,10,1804,1740,,1140,616,1224,.503,247,590,.419,325,436,.745,143,647,362,205,28,345,412,0
San Diego State,29,11,18,.379,1.06,5.61,4,10,7,9,3,8,1989,2062,,1180,696,1629,.427,161,495,.325,436,628,.694,356,935,346,241,86,409,510,0
San Diego,29,16,13,.552,2.88,2.25,7,7,11,3,4,8,2222,2130,,,771,1631,.473,211,519,.407,469,625,.750,313,1003,466,214,67,491,572,0
San Francisco,31,17,14,.548,2.30,3.33,6,8,12,4,4,9,2138,2136,,1270,751,1852,.406,218,654,.333,418,607,.689,374,1102,361,249,73,407,606,0
San Jose State,29,6,23,.207,-7.69,2.41,3,15,5,9,1,13,1769,2062,,1160,655,1623,.404,180,531,.339,279,384,.727,266,883,359,138,44,386,488,0
Santa Clara,31,15,16,.484,2.58,2.18,7,7,8,7,4,9,2308,2283,,,791,1882,.420,212,627,.338,514,714,.720,404,1154,450,216,62,422,679,0
Savannah State,28,0,28,.000,-31.18,-7.93,,,0,12,0,15,1623,2274,,,577,1650,.350,130,476,.273,339,586,.578,418,1048,214,194,96,548,570,0
Seton Hall,28,12,16,.429,5.01,6.04,4,12,9,7,3,8,1756,1785,,1125,636,1584,.402,144,422,.341,340,478,.711,378,1028,351,188,96,392,546,0
Siena,30,6,24,.200,-11.40,-2.47,4,14,3,10,3,10,1922,2190,,,662,1763,.375,179,622,.288,419,600,.698,412,1119,356,211,61,460,667,0
South Alabama,28,10,18,.357,-5.87,0.09,6,9,7,7,3,10,1744,1849,,,582,1400,.416,207,588,.352,373,577,.646,284,896,308,212,84,447,570,0
South Carolina State,31,19,12,.613,-5.03,-10.93,11,7,6,3,9,6,2086,1903,,,724,1603,.452,144,459,.314,494,704,.702,375,1130,352,241,66,530,597,0
South Carolina,33,20,13,.606,11.82,7.85,7,9,16,3,1,9,2263,2132,,1335,852,1843,.462,164,481,.341,395,644,.613,410,1138,438,251,142,416,556,0
South Florida,30,14,16,.467,2.79,2.03,5,11,8,5,2,10,2029,1996,,1200,699,1583,.442,171,481,.356,460,660,.697,334,1024,391,214,107,459,603,0
Southeast Missouri State,29,15,14,.517,-3.02,-3.78,9,7,10,4,5,9,2042,1972,,,740,1582,.468,191,508,.376,371,533,.696,265,890,419,237,119,379,467,0
Southeastern Louisiana ,33,24,9,.727,-0.86,-5.22,13,3,13,1,8,6,2085,1842,,,768,1660,.463,117,376,.311,432,668,.647,351,1017,388,300,122,460,573,1
Southern California,29,12,17,.414,4.53,6.91,5,13,7,7,2,10,2159,2228,,,805,1801,.447,233,635,.367,316,528,.598,400,1026,435,240,76,479,582,0
Southern Illinois ,35,27,8,.771,11.53,5.12,15,3,15,0,8,6,2365,2123,,1400,884,1957,.452,202,554,.365,395,528,.748,395,1144,472,322,101,449,684,1
Southern Methodist,28,14,14,.500,3.59,2.11,9,9,10,4,4,9,1946,1891,,1150,721,1592,.453,113,336,.336,391,561,.697,354,969,378,242,101,396,504,0
Southern Mississippi,28,11,17,.393,-4.80,1.52,2,14,7,6,1,9,1897,1981,,1125,654,1508,.434,146,420,.348,443,606,.731,300,938,330,199,36,378,504,0
Southern Utah,28,13,15,.464,-9.34,-4.07,6,10,10,3,3,11,1954,2047,,,718,1584,.453,218,536,.407,300,469,.640,281,858,448,263,61,384,523,0
Southern,29,14,15,.483,-15.53,-13.38,10,8,11,2,2,12,1877,1909,,,679,1658,.410,130,484,.269,389,620,.627,394,1094,355,218,90,520,560,0
St. Bonaventure,28,2,26,.071,-15.69,0.38,1,15,1,11,0,12,1718,2168,,1130,623,1596,.390,146,479,.305,326,499,.653,340,908,343,160,43,426,539,0
St. Francis (NY),28,13,15,.464,-8.77,-8.66,9,9,8,4,5,11,1961,1964,,1120,693,1552,.447,218,587,.371,357,562,.635,266,859,391,233,114,419,564,0
St. John's (NY),27,9,18,.333,4.98,7.42,3,13,9,7,0,11,1738,1804,,1080,648,1506,.430,112,358,.313,330,492,.671,366,966,332,222,111,441,520,0
Stanford ,31,18,13,.581,9.10,8.13,11,7,10,2,5,5,2173,2134,,1245,774,1778,.435,124,363,.342,501,680,.737,380,1112,373,207,86,428,559,1
Stephen F. Austin,27,12,15,.444,-10.15,-7.54,6,10,8,5,3,9,1751,1676,,,629,1437,.438,122,342,.357,371,520,.713,348,910,314,167,44,406,502,0
Stetson,27,10,17,.370,-12.96,-6.23,8,12,6,5,4,12,1791,1954,,1085,633,1494,.424,121,384,.315,404,570,.709,343,939,286,219,49,419,494,0
Stony Brook,29,12,17,.414,-8.59,-4.66,6,12,8,5,3,11,1793,1907,,1165,625,1550,.403,156,458,.341,387,549,.705,312,999,308,175,72,402,514,0
Syracuse ,34,27,7,.794,15.95,6.83,11,5,16,2,6,3,2548,2197,,1370,946,1956,.484,156,499,.313,500,750,.667,470,1291,525,276,157,465,539,1
Temple,30,16,14,.533,6.68,4.31,11,5,8,5,6,7,1914,1843,,1200,666,1714,.389,183,666,.275,399,601,.664,442,1083,293,229,94,275,488,0
Tennessee-Martin,27,6,21,.222,-15.30,-3.38,3,13,3,7,3,11,1814,2066,,1090,641,1539,.417,119,410,.290,413,615,.672,362,930,303,217,74,421,483,0
Tennessee State,31,14,17,.452,-4.50,-1.25,9,7,10,2,2,15,2337,2420,,1270,842,1882,.447,233,652,.357,420,610,.689,411,1114,470,242,138,494,617,0
Tennessee Tech,29,18,11,.621,-2.86,-5.01,12,4,13,0,4,9,2150,1996,,,755,1628,.464,173,505,.343,467,654,.714,374,1062,415,245,102,493,596,0
Tennessee,31,14,17,.452,8.47,8.37,6,10,10,6,2,8,2138,2135,,,763,1677,.455,222,579,.383,390,566,.689,319,1014,419,227,98,432,552,0
Texas A&M-Corpus Christi,28,20,8,.714,-0.08,-5.48,,,12,2,8,6,2102,1818,,1120,768,1553,.495,166,419,.396,400,534,.749,327,1021,514,198,129,456,461,0
Texas A&M,31,21,10,.677,13.15,5.19,8,8,17,3,4,6,2282,1970,,,785,1614,.486,195,499,.391,517,757,.683,340,1097,507,200,107,434,698,0
Texas-Arlington,28,13,15,.464,-9.37,-4.24,7,9,9,5,4,10,1973,2053,,,668,1440,.464,172,466,.369,465,668,.696,271,965,365,167,94,530,549,0
Texas Christian,35,21,14,.600,5.43,3.54,8,8,14,3,5,10,2463,2385,,,831,2013,.413,284,791,.359,517,872,.593,447,1286,457,291,65,501,706,0
Texas-El Paso ,35,27,8,.771,9.61,0.91,14,4,16,2,7,4,2616,2278,,,901,1955,.461,208,571,.364,606,765,.792,386,1197,579,255,104,426,581,1
Texas-Rio Grande Valley,28,12,16,.429,-9.21,-1.61,,,11,3,1,13,1915,2009,,,631,1522,.415,192,577,.333,461,657,.702,371,1062,350,180,74,474,543,0
Texas-San Antonio,28,15,13,.536,-4.37,-3.93,10,6,10,4,5,9,2126,2067,,,776,1696,.458,144,400,.360,430,698,.616,407,1170,425,227,123,503,555,0
Texas Southern,26,11,15,.423,-16.79,-13.23,9,9,7,5,4,10,1711,1785,,,584,1419,.412,125,417,.300,418,637,.656,358,1058,305,131,81,443,497,0
Texas State,28,14,14,.500,-9.75,-5.52,8,8,10,3,4,11,1914,1936,,1135,662,1490,.444,186,492,.378,404,570,.709,308,939,335,192,58,418,552,0
Texas Tech ,33,22,11,.667,16.24,9.11,10,6,13,2,5,5,2535,2287,,1330,932,1957,.476,145,366,.396,526,696,.756,368,1156,553,259,123,424,554,1
Texas ,31,20,11,.645,15.49,7.56,9,7,14,2,4,6,2384,2124,,1250,816,1789,.456,243,627,.388,509,730,.697,418,1228,406,187,134,433,548,1
Toledo,29,16,13,.552,4.82,3.18,11,7,11,1,3,10,2055,1990,,1180,735,1625,.452,195,565,.345,390,554,.704,318,911,414,284,80,408,591,0
Towson,29,5,24,.172,-11.43,-3.43,2,16,3,10,1,13,1803,2035,,1170,622,1587,.392,184,571,.322,375,570,.658,354,1015,377,168,89,422,572,0
Troy,30,12,18,.400,-10.80,-6.42,10,10,6,5,5,9,2244,2324,,1200,798,1849,.432,338,923,.366,310,456,.680,308,906,473,309,85,385,502,0
Tulane,28,10,18,.357,-6.78,0.55,4,12,8,5,1,10,1864,2039,,1125,671,1560,.430,165,529,.312,357,496,.720,330,1039,426,156,115,481,547,0
Tulsa,29,9,20,.310,0.76,1.66,5,13,8,8,1,10,2070,2096,,1180,757,1694,.447,159,470,.338,397,575,.690,297,1041,411,213,165,439,625,0
UCLA ,29,18,11,.621,9.16,7.09,11,7,12,3,6,5,2138,2078,,1175,748,1654,.452,186,538,.346,456,634,.719,343,1068,417,169,74,464,532,1
Utah State ,32,24,8,.750,12.75,-1.47,13,5,14,1,6,5,2315,1848,,,851,1621,.525,185,473,.391,428,619,.691,307,1095,549,179,92,396,441,1
Utah ,35,29,6,.829,14.01,4.54,13,1,16,0,7,3,2379,2005,,1400,837,1628,.514,155,473,.328,550,769,.715,374,1194,516,211,94,503,506,1
Valparaiso,31,15,16,.484,-3.33,-0.19,10,6,8,4,5,9,2178,2265,,1255,755,1661,.455,207,498,.416,461,630,.732,339,1077,470,147,38,474,601,0
Vanderbilt,34,20,14,.588,13.53,7.30,8,8,17,2,3,8,2420,2208,,1360,861,1856,.464,322,837,.385,376,555,.677,323,1126,541,231,103,489,665,0
Vermont ,32,25,7,.781,7.80,-1.95,16,2,13,0,10,6,2299,1987,,1285,805,1852,.435,269,751,.358,420,582,.722,397,1208,493,216,55,380,506,1
Villanova ,32,24,8,.750,19.06,8.43,11,5,14,2,5,3,2336,1996,,,801,1840,.435,225,626,.359,509,692,.736,463,1193,385,267,178,409,596,1
Virginia Commonwealth,32,19,13,.594,2.01,-1.52,13,5,13,5,6,8,2240,2127,,1300,791,1806,.438,215,617,.348,443,639,.693,356,1106,422,223,132,411,641,0
VMI,27,9,18,.333,-17.19,-8.15,3,13,6,7,3,11,1748,1893,,1085,636,1471,.432,121,408,.297,355,528,.672,299,916,311,209,65,464,483,0
Virginia Tech,30,16,14,.533,5.63,5.79,8,8,13,3,3,9,2056,2061,,,752,1761,.427,167,477,.350,385,600,.642,372,1012,397,272,141,396,554,0
Virginia,29,14,15,.483,7.49,10.62,4,12,10,5,2,9,2112,2203,,1185,745,1736,.429,189,572,.330,433,628,.689,339,1034,364,200,105,397,600,0
Wagner,30,13,17,.433,-9.87,-6.94,10,8,6,6,7,11,1862,1950,,1205,692,1628,.425,140,467,.300,338,551,.613,375,1099,360,190,94,430,505,0
Wake Forest ,33,27,6,.818,20.24,10.27,13,3,16,0,8,4,2801,2441,,1340,965,1966,.491,251,629,.399,620,906,.684,465,1315,531,284,118,484,640,1
Washington State,28,12,16,.429,6.39,7.39,7,11,5,5,5,9,1566,1594,,1145,580,1447,.401,167,505,.331,239,385,.621,256,868,358,201,85,388,512,0
Washington ,35,29,6,.829,19.77,7.66,14,4,15,0,6,5,3026,2596,,1410,1102,2271,.485,257,670,.384,565,771,.733,523,1305,660,288,87,499,718,1
Weber State,30,14,16,.467,-7.58,-5.62,7,7,10,3,4,12,1957,2000,,,704,1596,.441,156,484,.322,393,540,.728,325,1042,403,131,46,408,481,0
West Virginia ,35,24,11,.686,11.76,7.62,8,8,11,3,6,5,2501,2356,,1420,868,1930,.450,319,885,.360,446,601,.742,340,1065,578,280,130,412,530,1
Western Carolina,30,8,22,.267,-12.91,-2.54,3,13,7,6,1,13,2094,2259,,,764,1819,.420,179,567,.316,387,623,.621,411,1148,420,262,137,533,592,0
Western Illinois,28,11,17,.393,-5.78,-1.58,7,9,9,4,2,12,1879,1921,,1135,657,1435,.458,163,462,.353,402,599,.671,297,911,370,206,68,441,488,0
Western Kentucky,31,22,9,.710,5.01,-0.49,9,5,15,1,6,7,2388,2207,,1270,866,1876,.462,240,649,.370,416,585,.711,426,1079,434,241,121,415,570,0
Western Michigan,33,20,13,.606,7.23,2.01,11,7,10,3,9,7,2407,2217,,1335,814,1901,.428,249,670,.372,530,749,.708,478,1293,424,210,53,437,590,0
Wichita State,32,22,10,.688,9.61,4.36,12,6,13,3,8,6,2300,2132,,,769,1644,.468,229,608,.377,533,743,.717,355,1157,499,161,76,444,604,0
William & Mary,29,8,21,.276,-12.10,-2.13,3,15,6,8,1,12,1880,2129,,1175,625,1516,.412,149,489,.305,481,663,.725,327,1017,373,160,75,500,540,0
Winthrop ,33,27,6,.818,0.48,-6.65,15,1,16,0,9,4,2245,1961,,1330,767,1724,.445,220,604,.364,491,725,.677,371,1154,477,269,125,464,616,1
Wisconsin ,34,25,9,.735,16.76,9.61,11,5,15,1,5,6,2290,2047,,1360,788,1789,.440,250,640,.391,464,685,.677,342,1176,444,179,62,389,513,1
Wofford,28,14,14,.500,-6.42,-3.76,7,9,10,3,4,10,2040,1961,,1135,737,1606,.459,188,534,.352,378,590,.641,310,941,438,262,62,397,485,0
Wright State,30,15,15,.500,-0.32,0.35,8,8,11,4,4,10,1918,1938,,1220,690,1484,.465,130,371,.350,408,610,.669,317,981,348,137,50,410,481,0
Wyoming,28,15,13,.536,3.91,3.91,7,7,11,3,3,8,1986,1986,,,684,1547,.442,159,472,.337,459,687,.668,362,1082,335,170,144,452,564,0
Xavier,29,17,12,.586,6.96,1.90,10,6,13,5,4,7,2033,1886,,,690,1521,.454,211,599,.352,442,604,.732,330,972,439,166,93,398,518,0
Yale,27,11,16,.407,-5.45,-2.82,7,7,7,4,3,10,1831,1902,,,652,1492,.437,129,382,.338,398,606,.657,293,967,372,175,78,390,487,0
Youngstown State,28,5,23,.179,-14.41,-0.72,2,14,5,10,0,12,1681,2005,,1140,591,1442,.410,138,435,.317,361,552,.654,297,870,293,157,112,438,506,0
